"equip","","N.","PREP.","TYPES","PROPERTIES","","","","","ACTIONS","","","","","","","","","CONTAINED ITEMS","","","","","","","","","","","","","","","","","","","","","","","","",""
"tuxedo top","","","","clothes
shirts","weight:2","equipment
target : chest
armor : 5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"bra","","","","clothes
shirts","weight:2","equipment
target : chest
armor : 5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"hoody","","","","clothes
shirts","weight:2","equipment
target : chest
armor : 5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"jacket","","","","clothes
shirts","weight:2","equipment
target : chest
armor : 5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"long-sleeved shirt","","","","clothes
shirts","weight:2","equipment
target : chest
armor : 5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"t-shirt","","","","clothes
shirts","weight:2","equipment
target : chest
armor : 5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"tank top","","","","clothes
shirts","weight:2","equipment
target : chest
armor : 5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"turtleneck sweater","","","","clothes
shirts","weight:2","equipment
target : chest
armor : 5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"cargo pants","","","","clothes
legwear","weight:2","equipment
target : chest
armor : 5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"carpenter suit","","","","clothes
legwear","weight:2","equipment
target : chest
armor : 5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"jeans","","","","clothes
legwear","weight:2","equipment
target : chest
armor : 5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"jumpsuit","","","","clothes
legwear","weight:2","equipment
target : chest
armor : 5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"short pants","","","","clothes
legwear","weight:2","equipment
target : chest
armor : 5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"skirt","","","","clothes
legwear","weight:2","equipment
target : chest
armor : 5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"sweat pants","","","","clothes
legwear","weight:2","equipment
target : chest
armor : 5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"baseball hat","","","","clothes
headwear","weight:2","equipment
target : chest
armor : 5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"beret","","","","clothes
headwear","weight:2","equipment
target : chest
armor : 5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"chapka","","","","clothes
headwear","weight:2","equipment
target : chest
armor : 5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"fedora","","","","clothes
headwear","weight:2","equipment
target : chest
armor : 5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"fingerless gloves","","","","clothes
handwear","weight:1","equipment
target : chest
armor : 5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"lace gloves","","","","clothes
handwear","weight:1","equipment
target : chest
armor : 5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"leather gloves","","","","clothes
handwear","weight:2","equipment
target : chest
armor : 5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"mittens","","","","clothes
handwear","weight:1","equipment
target : chest
armor : 5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"basketball shoes","","","","clothes
footwear","weight:2","equipment
target : chest
armor : 5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"flip flops","","","","clothes
footwear","weight:1","equipment
target : chest
armor : 5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"knee high boots","","","","clothes
footwear","weight:2","equipment
target : chest
armor : 5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"laced booties","","","","clothes
footwear","weight:2","equipment
target : chest
armor : 5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"monk straps","","","","clothes
footwear","weight:2","equipment
target : chest
armor : 5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"scarpin heels","","","","clothes
footwear","weight:2","equipment
target : chest
armor : 5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"uggs","","","","clothes
footwear","weight:2","equipment
target : chest
armor : 5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"work boots","","","","clothes
footwear","weight:2","equipment
target : chest
armor : 5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"socks","","","","clothes
footwear","weight:1","equipment
target : chest
armor : 5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"coat","","","","clothes
shirts","weight:2","equipment
target : chest
armor : 5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"glasses","","","","clothes
headwear","weight:1","equipment
target : chest
armor : 5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"underwear","","","","clothes
legwear","weight:1","equipment
target : chest
armor : 5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"watch","","","","clothes
handwear","weight:1","equipment
target : chest
armor : 5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
