"NAME","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"plain","Tile","10","on","","% tile","contents
tools:3*5%
wardrobe:2
tree:10
flower:5
row boat:2
farm:1
table:2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"field","Tile","10","on","","% tile","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"hill","Tile","10","on","","% tile","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"mountain","Tile","10","on","","% tile"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"forest","Tile","10","in","","% tile","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"woods","Tile","10","in","","% tile","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"sea","Tile","10","on","","% tile","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"lake","Tile","10","on","","% tile","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"river","Tile","10","on","","% tile","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"beach
shore
seaside
shoreline","Tile","10","on","","% tile","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"road","Tile","10","on","","% tile","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"village road","Tile","10","on","","% tile","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"costal road","Tile","10","on","","% tile","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"path","Tile","10","on","","% tile","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"bridge","Tile","10","on","","% tile","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"house","","5","in","","% interior","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"farm","","5","in","","% interior","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"cabin","","5","in","","% interior","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"mansion","","5","in","","% interior","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
