,in the grass,at the foot of a tree,near a bush,in the middle of the road,at the side of the road,near the wall,on a step,on the counter,near the entrance,on the toilet seat,on the bed
verbe seul,,,,,,,,,,,
north,,,,,,,,,,,
north east,,,,,,,,,,,
east,,,,,,,,,,,
south east,,,,,,,,,,,
south,,,,,,,,,,,
south west,,,,,,,,,,,
west,,,,,,,,,,,
north west,,,,,,,,,,,
"front
forward",,,,,,,,,,,
right,,,,,,,,,,,
"back
backwards
behind",,,,,,,,,,,
left,,,,,,,,,,,
"inventory
bag",,,,,,,,,,,
fake1,,,,,,,,,,,
around,,,,,,,,,,,
placeholder,,,,,,,,,,,
door,,,,,,,,,,,
mushroom,,,,,,,,,,,
puddle,,,,,,,,,,,
bed,,,,,,,,,,,
"bottle
water bottle
flask",,,,,,,,,,,
sink,,,,,,,,,,,
shower,,,,,,,,,,,
* ,,,,,,,,,,,
letter,,,,,,,,,,,
* ,,,,,,,,,,,
tree,,,,,,,,,,,
log,,,,,,,,,,,
stick,,,,,,,,,,,
tomato,,,,,,,,,,,
brocoli,,,,,,,,,,,
apple,,,,,,,,,,,
banana,,,,,,,,,,,
milk bottle,,,,,,,,,,,
* ,,,,,,,,,,,
piece of bread,,,,,,,,,,,
* ,,,,,,,,,,,
* ,,,,,,,,,,,
carrot,,,,,,,,,,,
* ,,,,,,,,,,,
meat can,,,,,,,,,,,
tomato can,,,,,,,,,,,
tuna can,,,,,,,,,,,
soda,,,,,,,,,,,
knife,,,,,,,,,,,
mop,,,,,,,,,,,
shovel,,,,,,,,,,,
key,,,,,,,,,,,
book,,,,,,,,,,,
receipe,,,,,,,,,,,
manual,,,,,,,,,,,
newspaper,,,,,,,,,,,
magazine,,,,,,,,,,,
dollar,,,,,,,,,,,
mp3 player,,,,,,,,,,,
dollar,,,,,,,,,,,
pen,,,,,,,,,,,
spoon,,,,,,,,,,,
fork,,,,,,,,,,,
plate,,,,,,,,,,,
bowl,,,,,,,,,,,
glass,,,,,,,,,,,
sponge,,,,,,,,,,,
parfume,,,,,,,,,,,
plastic duck,,,,,,,,,,,
towel,,,,,,,,,,,
toothpaste,,,,,,,,,,,
toothbrush,,,,,,,,,,,
tv,,,,,,,,,,,
table,,,,,,,,,,,
sofa,,,,,,,,,,,
clock,,,,,,,,,,,
window,,,,,,,,,,,
box,,,,,,,,,,,
phone,,,,,,,,,,,
computer,,,,,,,,,,,
radio,,,,,,,,,,,
camera,,,,,,,,,,,
car,,,,,,,,,,,
boat,,,,,,,,,,,
pants,,,,,,,,,,,
t-shirt,,,,,,,,,,,
jacket,,,,,,,,,,,
coat,,,,,,,,,,,
shoes,,,,,,,,,,,
glasses,,,,,,,,,,,
watch,,,,,,,,,,,
* ,,,,,,,,,,,
washing machine,,,,,,,,,,,
candle,,,,,,,,,,,
flashlight,,,,,,,,,,,
screw,,,,,,,,,,,
scothtape,,,,,,,,,,,
nail,,,,,,,,,,,
paper,,,,,,,,,,,
berry,,,,,,,,,,,
* ,,,,,,,,,,,
compas,,,,,,,,,,,
plank,,,,,,,,,,,
piece of cloth,,,,,,,,,,,
scissors,,,,,,,,,,,
die,,,,,,,,,,,
thread,,,,,,,,,,,
battery,,,,,,,,,,,
fridge,,,,,,,,,,,
chest,,,,,,,,,,,
armory,,,,,,,,,,,
cupboard,,,,,,,,,,,
shelf,,,,,,,,,,,
wallet,,,,,,,,,,,
tool box,,,,,,,,,,,
bathroom shelf,,,,,,,,,,,
cardboard,,,,,,,,,,,
seeds,,,,,,,,,,,
sprout,,,,,,,,,,,
plain,1,,,,,,,,,,
field,1,,,,,,,,,,
clearing,1,,1,,,,,,,,
hill,,,,,,,,,,,
mountain,,,,,,,,,,,
forest,,,,,,,,,,,
wood,,,,,,,,,,,
sea,,,,,,,,,,,
lake,,,,,,,,,,,
river,,,,,,,,,,,
beach,,,,,,,,,,,
road,,,,,,,,,,,
village road,,,,,,,,,,,
costal road,,,,,,,,,,,
path,,,,,,,,,,,
bridge,,,,,,,,,,,
house,,,,,,,,,,,
farm,,1,,,,,,,,,
cabin,,,,,,,,,,,
mansion,,,,,,,,,,,
hallway,,,,,,,,,,,
stairs,,,,,,,,,,,
living room,,,,,,,,,,,
kitchen,,,,,,,,,,,
dining room,,,,,,,,,,,
children's room,,,,,,,,,,,
bedroom,,,,,,,,,,,
bathroom,,,,,,,,,,,
toilets,,,,,,,,,,,
attic,,,,,,,,,,,
basement,,,,,,,,,,,
cellar,,,,,,,,,,,
office,,,,,,,,,,,
* ,,,,,,,,,,,
watering can,,,,,,,,,,,
floor,,,,,,,,,,,
hole,,,,,,,,,,,
* ,,,,,,,,,,,
mound,,,,,,,,,,,
